National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2019-20,Kansas,664,559,105
2019-20,Kentucky,752,620,132
2019-20,Louisiana,654,510,144
2019-20,Maine,159,130,29
2019-20,Maryland,"5,171","3,939","1,232"
2019-20,Massachusetts,"3,872","2,801","1,071"
2019-20,Michigan,"3,123","2,454",669
2019-20,Minnesota,"1,854","1,477",377
2019-20,Mississippi,284,231,53
2019-20,Missouri,"1,720","1,403",317
2019-20,Montana,140,124,16
2019-20,Nebraska,655,537,118
2019-20,Nevada,272,206,66
2019-20,New Hampshire,"1,021",804,217
2019-20,New Jersey,"2,844","2,307",537
2019-20,New Mexico,203,164,39
2019-20,New York,"8,017","5,831","2,186"
2019-20,North Carolina,"2,524","1,943",581
2019-20,North Dakota,177,157,20
2019-20,Ohio,"1,864","1,527",337
2019-20,Oklahoma,671,543,128
2019-20,Oregon,"1,137",920,217
2019-20,Pennsylvania,"5,011","3,801","1,210"
2019-20,Rhode Island,522,374,148
2019-20,South Carolina,843,681,162
2019-20,South Dakota,317,256,61
2019-20,Tennessee,943,778,165
2019-20,Texas,"5,665","4,476","1,189"
2019-20,Utah,"4,401","3,961",440
2019-20,Vermont,472,387,85
2019-20,Virginia,"3,288","2,634",654
2019-20,Washington,"2,596","1,936",660
2019-20,West Virginia,849,715,134
2019-20,Wisconsin,"1,558","1,287",271
2019-20,Wyoming,44,38,6
2018-19,Total,"88,638","70,322","18,316"
2018-19,Alabama,936,743,193
2018-19,Alaska,44,36,8
2018-19,Arizona,"2,424","1,975",449
2018-19,Arkansas,474,390,84
2018-19,California,"8,447","6,718","1,729"
2018-19,Colorado,"1,947","1,588",359
2018-19,Connecticut,536,428,108
2018-19,Delaware,239,179,60
2018-19,District of Columbia,372,279,93
2018-19,Florida,"4,188","3,376",812
2018-19,Georgia,"3,150","2,460",690
2018-19,Hawaii,182,153,29
2018-19,Idaho,461,362,99
2018-19,Illinois,"3,206","2,667",539
2018-19,Indiana,"2,548","2,038",510
2018-19,Iowa,774,664,110
2018-19,Kansas,651,537,114
2018-19,Kentucky,637,524,113
2018-19,Louisiana,568,448,120
2018-19,Maine,177,145,32
2018-19,Maryland,"4,870","3,753","1,117"
2018-19,Massachusetts,"3,542","2,580",962
2018-19,Michigan,"2,639","2,099",540
2018-19,Minnesota,"1,801","1,442",359
2018-19,Mississippi,275,231,44
2018-19,Missouri,"1,670","1,336",334
2018-19,Montana,148,125,23
2018-19,Nebraska,596,497,99
2018-19,Nevada,221,182,39
2018-19,New Hampshire,873,707,166
2018-19,New Jersey,"2,470","2,005",465
2018-19,New Mexico,198,164,34
2018-19,New York,"7,336","5,427","1,909"
2018-19,North Carolina,"2,378","1,826",552
2018-19,North Dakota,175,153,22
2018-19,Ohio,"1,893","1,567",326
2018-19,Oklahoma,665,546,119
2018-19,Oregon,"1,123",934,189
2018-19,Pennsylvania,"4,489","3,470","1,019"
2018-19,Rhode Island,453,331,122
2018-19,South Carolina,834,645,189
